GEO,population,val_norm,Date,Cause of death (ICD-10),rate
New Brunswick,789225,0,2019-09-07,Influenza and pneumonia [J09-J18],0
New Brunswick,789225,10,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
New Brunswick,789225,5,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",1
New Brunswick,789225,10,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
New Brunswick,789225,0,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
New Brunswick,789225,,2019-09-07,"COVID-19 [U07.1,U07.2]",
New Brunswick,789225,,2019-09-07,"COVID-19, virus identified  [U07.1]",
New Brunswick,789225,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
New Brunswick,789225,10,2019-09-07,Ill-defined and unspecified causes of mortality [R99],1
New Brunswick,789225,,2019-09-07,Information unavailable,
New Brunswick,789225,35,2019-09-07,All other causes of death,4
Quebec,8604495,1150,2019-09-07,"Total, all causes of death [A00-Y89]",13
Quebec,8604495,405,2019-09-07,Malignant neoplasms [C00-C97],5
Quebec,8604495,5,2019-09-07,Diabetes mellitus [E10-E14],0
Quebec,8604495,35,2019-09-07,Alzheimer's disease [G30],0
Quebec,8604495,205,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2
Quebec,8604495,45,2019-09-07,Cerebrovascular diseases [I60-I69],1
Quebec,8604495,20,2019-09-07,Influenza and pneumonia [J09-J18],0
Quebec,8604495,40,2019-09-07,Chronic lower respiratory diseases [J40-J47],0
Quebec,8604495,20,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Quebec,8604495,70,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Quebec,8604495,15,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Quebec,8604495,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Quebec,8604495,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Quebec,8604495,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Quebec,8604495,5,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Quebec,8604495,,2019-09-07,Information unavailable,
Quebec,8604495,280,2019-09-07,All other causes of death,3
Ontario,14826276,1885,2019-09-07,"Total, all causes of death [A00-Y89]",13
Ontario,14826276,555,2019-09-07,Malignant neoplasms [C00-C97],4
Ontario,14826276,40,2019-09-07,Diabetes mellitus [E10-E14],0
Ontario,14826276,20,2019-09-07,Alzheimer's disease [G30],0
Ontario,14826276,325,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2
Ontario,14826276,100,2019-09-07,Cerebrovascular diseases [I60-I69],1
Ontario,14826276,30,2019-09-07,Influenza and pneumonia [J09-J18],0
Ontario,14826276,80,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
Ontario,14826276,20,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Ontario,14826276,120,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Ontario,14826276,15,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Ontario,14826276,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Ontario,14826276,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Ontario,14826276,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Ontario,14826276,35,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Ontario,14826276,,2019-09-07,Information unavailable,
Ontario,14826276,545,2019-09-07,All other causes of death,4
Manitoba,1383765,215,2019-09-07,"Total, all causes of death [A00-Y89]",16
Manitoba,1383765,65,2019-09-07,Malignant neoplasms [C00-C97],5
Manitoba,1383765,5,2019-09-07,Diabetes mellitus [E10-E14],0
Manitoba,1383765,0,2019-09-07,Alzheimer's disease [G30],0
Manitoba,1383765,40,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Manitoba,1383765,20,2019-09-07,Cerebrovascular diseases [I60-I69],1
Manitoba,1383765,0,2019-09-07,Influenza and pneumonia [J09-J18],0
Manitoba,1383765,10,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
Manitoba,1383765,0,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Manitoba,1383765,5,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Manitoba,1383765,5,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Manitoba,1383765,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Manitoba,1383765,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Manitoba,1383765,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Manitoba,1383765,10,2019-09-07,Ill-defined and unspecified causes of mortality [R99],1
Manitoba,1383765,,2019-09-07,Information unavailable,
Manitoba,1383765,50,2019-09-07,All other causes of death,4
Saskatchewan,1179844,155,2019-09-07,"Total, all causes of death [A00-Y89]",13
Saskatchewan,1179844,40,2019-09-07,Malignant neoplasms [C00-C97],3
Saskatchewan,1179844,5,2019-09-07,Diabetes mellitus [E10-E14],0
Saskatchewan,1179844,0,2019-09-07,Alzheimer's disease [G30],0
Saskatchewan,1179844,35,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Saskatchewan,1179844,5,2019-09-07,Cerebrovascular diseases [I60-I69],0
Saskatchewan,1179844,5,2019-09-07,Influenza and pneumonia [J09-J18],0
Saskatchewan,1179844,15,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
Saskatchewan,1179844,5,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Saskatchewan,1179844,5,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Saskatchewan,1179844,5,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Saskatchewan,1179844,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Saskatchewan,1179844,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Saskatchewan,1179844,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Saskatchewan,1179844,10,2019-09-07,Ill-defined and unspecified causes of mortality [R99],1
Saskatchewan,1179844,,2019-09-07,Information unavailable,
Saskatchewan,1179844,40,2019-09-07,All other causes of death,3
Alberta,4442879,525,2019-09-07,"Total, all causes of death [A00-Y89]",12
Alberta,4442879,135,2019-09-07,Malignant neoplasms [C00-C97],3
Alberta,4442879,10,2019-09-07,Diabetes mellitus [E10-E14],0
Alberta,4442879,10,2019-09-07,Alzheimer's disease [G30],0
Alberta,4442879,110,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2
Alberta,4442879,30,2019-09-07,Cerebrovascular diseases [I60-I69],1
Alberta,4442879,10,2019-09-07,Influenza and pneumonia [J09-J18],0
Alberta,4442879,30,2019-09-07,Chronic lower respiratory diseases [J40-J47],1
Alberta,4442879,5,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Alberta,4442879,40,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Alberta,4442879,10,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Alberta,4442879,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Alberta,4442879,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Alberta,4442879,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Alberta,4442879,15,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Alberta,4442879,,2019-09-07,Information unavailable,
Alberta,4442879,130,2019-09-07,All other causes of death,3
British Columbia,5214805,680,2019-09-07,"Total, all causes of death [A00-Y89]",13
British Columbia,5214805,195,2019-09-07,Malignant neoplasms [C00-C97],4
British Columbia,5214805,20,2019-09-07,Diabetes mellitus [E10-E14],0
British Columbia,5214805,20,2019-09-07,Alzheimer's disease [G30],0
British Columbia,5214805,115,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2
British Columbia,5214805,35,2019-09-07,Cerebrovascular diseases [I60-I69],1
British Columbia,5214805,10,2019-09-07,Influenza and pneumonia [J09-J18],0
British Columbia,5214805,25,2019-09-07,Chronic lower respiratory diseases [J40-J47],0
British Columbia,5214805,10,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
British Columbia,5214805,20,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
British Columbia,5214805,10,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
British Columbia,5214805,,2019-09-07,"COVID-19 [U07.1,U07.2]",
British Columbia,5214805,,2019-09-07,"COVID-19, virus identified  [U07.1]",
British Columbia,5214805,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
British Columbia,5214805,45,2019-09-07,Ill-defined and unspecified causes of mortality [R99],1
British Columbia,5214805,,2019-09-07,Information unavailable,
British Columbia,5214805,185,2019-09-07,All other causes of death,4
Yukon,42986,,2019-09-07,"Total, all causes of death [A00-Y89]",
Yukon,42986,,2019-09-07,Malignant neoplasms [C00-C97],
Yukon,42986,,2019-09-07,Diabetes mellitus [E10-E14],
Yukon,42986,,2019-09-07,Alzheimer's disease [G30],
Yukon,42986,,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",
Yukon,42986,,2019-09-07,Cerebrovascular diseases [I60-I69],
Yukon,42986,,2019-09-07,Influenza and pneumonia [J09-J18],
Yukon,42986,,2019-09-07,Chronic lower respiratory diseases [J40-J47],
Yukon,42986,,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",
Yukon,42986,,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",
Yukon,42986,,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",
Yukon,42986,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Yukon,42986,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Yukon,42986,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Yukon,42986,,2019-09-07,Ill-defined and unspecified causes of mortality [R99],
Yukon,42986,,2019-09-07,Information unavailable,
Yukon,42986,,2019-09-07,All other causes of death,
Northwest Territories,45504,5,2019-09-07,"Total, all causes of death [A00-Y89]",11
Northwest Territories,45504,0,2019-09-07,Malignant neoplasms [C00-C97],0
Northwest Territories,45504,0,2019-09-07,Diabetes mellitus [E10-E14],0
Northwest Territories,45504,0,2019-09-07,Alzheimer's disease [G30],0
Northwest Territories,45504,0,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",0
Northwest Territories,45504,0,2019-09-07,Cerebrovascular diseases [I60-I69],0
Northwest Territories,45504,0,2019-09-07,Influenza and pneumonia [J09-J18],0
Northwest Territories,45504,0,2019-09-07,Chronic lower respiratory diseases [J40-J47],0
Northwest Territories,45504,0,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Northwest Territories,45504,0,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Northwest Territories,45504,0,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Northwest Territories,45504,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Northwest Territories,45504,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Northwest Territories,45504,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Northwest Territories,45504,0,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Northwest Territories,45504,,2019-09-07,Information unavailable,
Northwest Territories,45504,0,2019-09-07,All other causes of death,0
Nunavut,39403,5,2019-09-07,"Total, all causes of death [A00-Y89]",13
Nunavut,39403,5,2019-09-07,Malignant neoplasms [C00-C97],13
Nunavut,39403,0,2019-09-07,Diabetes mellitus [E10-E14],0
Nunavut,39403,0,2019-09-07,Alzheimer's disease [G30],0
Nunavut,39403,0,2019-09-07,"Diseases of heart [I00-I09, I11, I13, I20-I51]",0
Nunavut,39403,0,2019-09-07,Cerebrovascular diseases [I60-I69],0
Nunavut,39403,0,2019-09-07,Influenza and pneumonia [J09-J18],0
Nunavut,39403,0,2019-09-07,Chronic lower respiratory diseases [J40-J47],0
Nunavut,39403,0,2019-09-07,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Nunavut,39403,0,2019-09-07,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Nunavut,39403,0,2019-09-07,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Nunavut,39403,,2019-09-07,"COVID-19 [U07.1,U07.2]",
Nunavut,39403,,2019-09-07,"COVID-19, virus identified  [U07.1]",
Nunavut,39403,,2019-09-07,"COVID-19, virus not identified  [U07.2]",
Nunavut,39403,0,2019-09-07,Ill-defined and unspecified causes of mortality [R99],0
Nunavut,39403,,2019-09-07,Information unavailable,
Nunavut,39403,0,2019-09-07,All other causes of death,0
Canada,38246108,4970,2019-09-14,"Total, all causes of death [A00-Y89]",13
Canada,38246108,1530,2019-09-14,Malignant neoplasms [C00-C97],4
Canada,38246108,125,2019-09-14,Diabetes mellitus [E10-E14],0
Canada,38246108,120,2019-09-14,Alzheimer's disease [G30],0
Canada,38246108,840,2019-09-14,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2
Canada,38246108,215,2019-09-14,Cerebrovascular diseases [I60-I69],1
Canada,38246108,80,2019-09-14,Influenza and pneumonia [J09-J18],0
Canada,38246108,195,2019-09-14,Chronic lower respiratory diseases [J40-J47],1
Canada,38246108,75,2019-09-14,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Canada,38246108,240,2019-09-14,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Canada,38246108,75,2019-09-14,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Canada,38246108,,2019-09-14,"COVID-19 [U07.1,U07.2]",
Canada,38246108,,2019-09-14,"COVID-19, virus identified  [U07.1]",
Canada,38246108,,2019-09-14,"COVID-19, virus not identified  [U07.2]",
Canada,38246108,135,2019-09-14,Ill-defined and unspecified causes of mortality [R99],0
Canada,38246108,,2019-09-14,Information unavailable,
Canada,38246108,1345,2019-09-14,All other causes of death,4
Newfoundland and Labrador,520553,105,2019-09-14,"Total, all causes of death [A00-Y89]",20
Newfoundland and Labrador,520553,25,2019-09-14,Malignant neoplasms [C00-C97],5
Newfoundland and Labrador,520553,5,2019-09-14,Diabetes mellitus [E10-E14],1
Newfoundland and Labrador,520553,5,2019-09-14,Alzheimer's disease [G30],1
Newfoundland and Labrador,520553,15,2019-09-14,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Newfoundland and Labrador,520553,5,2019-09-14,Cerebrovascular diseases [I60-I69],1
Newfoundland and Labrador,520553,5,2019-09-14,Influenza and pneumonia [J09-J18],1
Newfoundland and Labrador,520553,5,2019-09-14,Chronic lower respiratory diseases [J40-J47],1
Newfoundland and Labrador,520553,5,2019-09-14,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",1
Newfoundland and Labrador,520553,10,2019-09-14,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2
Newfoundland and Labrador,520553,0,2019-09-14,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Newfoundland and Labrador,520553,,2019-09-14,"COVID-19 [U07.1,U07.2]",
Newfoundland and Labrador,520553,,2019-09-14,"COVID-19, virus identified  [U07.1]",
Newfoundland and Labrador,520553,,2019-09-14,"COVID-19, virus not identified  [U07.2]",
Newfoundland and Labrador,520553,0,2019-09-14,Ill-defined and unspecified causes of mortality [R99],0
Newfoundland and Labrador,520553,,2019-09-14,Information unavailable,
Newfoundland and Labrador,520553,30,2019-09-14,All other causes of death,6
Prince Edward Island,164318,20,2019-09-14,"Total, all causes of death [A00-Y89]",12
Prince Edward Island,164318,10,2019-09-14,Malignant neoplasms [C00-C97],6
Prince Edward Island,164318,0,2019-09-14,Diabetes mellitus [E10-E14],0
Prince Edward Island,164318,0,2019-09-14,Alzheimer's disease [G30],0
Prince Edward Island,164318,5,2019-09-14,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Prince Edward Island,164318,0,2019-09-14,Cerebrovascular diseases [I60-I69],0
Prince Edward Island,164318,5,2019-09-14,Influenza and pneumonia [J09-J18],3
Prince Edward Island,164318,0,2019-09-14,Chronic lower respiratory diseases [J40-J47],0
Prince Edward Island,164318,0,2019-09-14,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Prince Edward Island,164318,0,2019-09-14,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",0
Prince Edward Island,164318,0,2019-09-14,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Prince Edward Island,164318,,2019-09-14,"COVID-19 [U07.1,U07.2]",
Prince Edward Island,164318,,2019-09-14,"COVID-19, virus identified  [U07.1]",
Prince Edward Island,164318,,2019-09-14,"COVID-19, virus not identified  [U07.2]",
Prince Edward Island,164318,0,2019-09-14,Ill-defined and unspecified causes of mortality [R99],0
Prince Edward Island,164318,,2019-09-14,Information unavailable,
Prince Edward Island,164318,5,2019-09-14,All other causes of death,3
Nova Scotia,992055,175,2019-09-14,"Total, all causes of death [A00-Y89]",18
Nova Scotia,992055,45,2019-09-14,Malignant neoplasms [C00-C97],5
Nova Scotia,992055,5,2019-09-14,Diabetes mellitus [E10-E14],1
Nova Scotia,992055,5,2019-09-14,Alzheimer's disease [G30],1
Nova Scotia,992055,30,2019-09-14,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
Nova Scotia,992055,10,2019-09-14,Cerebrovascular diseases [I60-I69],1
Nova Scotia,992055,0,2019-09-14,Influenza and pneumonia [J09-J18],0
Nova Scotia,992055,10,2019-09-14,Chronic lower respiratory diseases [J40-J47],1
Nova Scotia,992055,0,2019-09-14,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Nova Scotia,992055,5,2019-09-14,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Nova Scotia,992055,0,2019-09-14,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Nova Scotia,992055,,2019-09-14,"COVID-19 [U07.1,U07.2]",
Nova Scotia,992055,,2019-09-14,"COVID-19, virus identified  [U07.1]",
Nova Scotia,992055,,2019-09-14,"COVID-19, virus not identified  [U07.2]",
Nova Scotia,992055,5,2019-09-14,Ill-defined and unspecified causes of mortality [R99],1
Nova Scotia,992055,,2019-09-14,Information unavailable,
Nova Scotia,992055,50,2019-09-14,All other causes of death,5
New Brunswick,789225,145,2019-09-14,"Total, all causes of death [A00-Y89]",18
New Brunswick,789225,40,2019-09-14,Malignant neoplasms [C00-C97],5
New Brunswick,789225,10,2019-09-14,Diabetes mellitus [E10-E14],1
New Brunswick,789225,0,2019-09-14,Alzheimer's disease [G30],0
New Brunswick,789225,20,2019-09-14,"Diseases of heart [I00-I09, I11, I13, I20-I51]",3
New Brunswick,789225,15,2019-09-14,Cerebrovascular diseases [I60-I69],2
New Brunswick,789225,0,2019-09-14,Influenza and pneumonia [J09-J18],0
New Brunswick,789225,5,2019-09-14,Chronic lower respiratory diseases [J40-J47],1
New Brunswick,789225,0,2019-09-14,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
New Brunswick,789225,10,2019-09-14,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
New Brunswick,789225,0,2019-09-14,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
New Brunswick,789225,,2019-09-14,"COVID-19 [U07.1,U07.2]",
New Brunswick,789225,,2019-09-14,"COVID-19, virus identified  [U07.1]",
New Brunswick,789225,,2019-09-14,"COVID-19, virus not identified  [U07.2]",
New Brunswick,789225,10,2019-09-14,Ill-defined and unspecified causes of mortality [R99],1
New Brunswick,789225,,2019-09-14,Information unavailable,
New Brunswick,789225,45,2019-09-14,All other causes of death,6
Quebec,8604495,1155,2019-09-14,"Total, all causes of death [A00-Y89]",13
Quebec,8604495,420,2019-09-14,Malignant neoplasms [C00-C97],5
Quebec,8604495,25,2019-09-14,Diabetes mellitus [E10-E14],0
Quebec,8604495,35,2019-09-14,Alzheimer's disease [G30],0
Quebec,8604495,185,2019-09-14,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2
Quebec,8604495,40,2019-09-14,Cerebrovascular diseases [I60-I69],0
Quebec,8604495,10,2019-09-14,Influenza and pneumonia [J09-J18],0
Quebec,8604495,55,2019-09-14,Chronic lower respiratory diseases [J40-J47],1
Quebec,8604495,15,2019-09-14,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",0
Quebec,8604495,65,2019-09-14,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",1
Quebec,8604495,20,2019-09-14,"Intentional self-harm (suicide) [X60-X84, Y87.0]",0
Quebec,8604495,,2019-09-14,"COVID-19 [U07.1,U07.2]",
Quebec,8604495,,2019-09-14,"COVID-19, virus identified  [U07.1]",
Quebec,8604495,,2019-09-14,"COVID-19, virus not identified  [U07.2]",
Quebec,8604495,0,2019-09-14,Ill-defined and unspecified causes of mortality [R99],0
Quebec,8604495,,2019-09-14,Information unavailable,
Quebec,8604495,275,2019-09-14,All other causes of death,3
Ontario,14826276,1895,2019-09-14,"Total, all causes of death [A00-Y89]",13
